timestamp,description,transaction_type,transaction_category,transaction_classification,merchant_name,amount,currency,transaction_id,provider_transaction_id,normalised_provider_transaction_id,running_balance,meta,category
2023-05-15T00:00:00Z,ASDA STOES LTD,DEBIT,PURCHASE,"['Shopping', 'Groceries']",Asda Store,-32,GBP,7df25b8b363b330ff0fbd00e7d1889b0,2407673ec411138ad3,txn-e72056ea71aec1a15,"{'currency': 'GBP', 'amount': 385.53}",{'provider_transaction_category': 'DEB'},groceries / food spend
2023-05-15T00:00:00Z,SAVE THE CHANGE,DEBIT,BILL_PAYMENT,[],,-0.55,GBP,6837f0c14f05143aaed1d44c7276c271,b14ef0725da52f48c9,txn-fa8edc6060dc16550,"{'currency': 'GBP', 'amount': 384.98}",{'provider_transaction_category': 'BP'},savings
2023-05-15T00:00:00Z,AMAZON BLACK FRIDAY,DEBIT,PURCHASE,[],,-15.45,GBP,4a98cea75e4701e20fe09b5f34275f33,a916fe049fb714f4f2,txn-3344691261a1fd852,"{'currency': 'GBP', 'amount': 369.53}",{'provider_transaction_category': 'DEB'},shopping
2023-05-15T00:00:00Z,SAVE THE CHANGE,DEBIT,BILL_PAYMENT,[],,-0.5,GBP,3daf9e4422d6744dffab6e46c0047819,c5a3da43b75042042e,txn-a493545c286d22ef5,"{'currency': 'GBP', 'amount': 369.03}",{'provider_transaction_category': 'BP'},savings
2023-05-15T00:00:00Z,TESCO EXTRA,DEBIT,PURCHASE,[],,-3.59,GBP,c4d43871d491337ea788f664bb3ddcad,8c2564380aa4b45276,txn-710c77f63b5556e80,"{'currency': 'GBP', 'amount': 365.44}",{'provider_transaction_category': 'DEB'},shopping
2023-05-15T00:00:00Z,PAYPAL EBAY,DEBIT,PURCHASE,"['Shopping', 'General']",Ebay,-10,GBP,a0bbdb083b6cdafc9795852c4c0d30ac,93fef52d3bcea8cb84,txn-561a608b52b0d9e6f,"{'currency': 'GBP', 'amount': 355.44}",{'provider_transaction_category': 'DEB'},shopping
2023-05-14T00:00:00Z,PAYPAL BETFRED,DEBIT,PURCHASE,"['Gambling', 'Betting']",Betfred,-2,GBP,9420cf9f46e825ced7fd65429355b1a2,1ae95a9dff3472c216,txn-8715885fd5b484ee7,"{'currency': 'GBP', 'amount': 353.44}",{'provider_transaction_category': 'DEB'},entertainment
2023-05-14T00:00:00Z,MT SECURETRADE LIM,DEBIT,PURCHASE,[],,-20.5,GBP,56ef1ffb1ed7ba92fcc7df2d80039819,1ae916d9671ee49165,txn-fd2e27349c202b3a3,"{'currency': 'GBP', 'amount': 332.94}",{'provider_transaction_category': 'DEB'},entertainment
2023-05-14T00:00:00Z,MT SECURETRADE LIM,CREDIT,PURCHASE,[],,43.5,GBP,7c811765f9e5c1cf8aa4a4b7b9fd1ce8,2e65cf94eab6da2ded,txn-825e57edcf87068cb,"{'currency': 'GBP', 'amount': 376.44}",{'provider_transaction_category': 'DEB'},entertainment
2023-05-12T00:00:00Z,SAVE THE CHANGE,DEBIT,BILL_PAYMENT,[],,-0.41,GBP,1cf41da670003b599697bf3eea50fd08,12b2a006fb22a955f7,txn-5b5073a930c8a7bb9,"{'currency': 'GBP', 'amount': 376.03}",{'provider_transaction_category': 'BP'},savings
2023-05-12T00:00:00Z,AA MEMBERSHIP,DEBIT,DIRECT_DEBIT,"['Auto & Transport', 'Auto Payment']",Aa Membership,-23.11,GBP,50e2b376c2a75f0456139034b918e94b,8742a415bf5bd27578,txn-0dceccc62f88b797b,"{'currency': 'GBP', 'amount': 352.92}",{'provider_transaction_category': 'DD'},transport
2023-05-11T00:00:00Z,CIRCLE UK TRADING,CREDIT,CREDIT,[],,50,GBP,9130c233889527c532ade296fec1b0bd,70e2717085322569ff,txn-56ee34ca0a0cadce6,"{'currency': 'GBP', 'amount': 402.92}",{'provider_transaction_category': 'FPI'},finances
2023-05-11T00:00:00Z,MS JANE DOE,CREDIT,TRANSFER,[],,50,GBP,809c0bfffd0ea8973ac5d733efd84291,af232dd838b741d2e2,txn-1c3f1d5739e4e36c3,"{'currency': 'GBP', 'amount': 452.92}",{'provider_transaction_category': 'TFR'},transfer
2023-05-11T00:00:00Z,WORKING TAX CREDIT,CREDIT,CREDIT,[],,22.42,GBP,57f0ffb7d8f932e55e7e6a999370476d,1104b9388ae1be1644,txn-d33ce4e45efeba32e,"{'currency': 'GBP', 'amount': 475.34}",{'provider_transaction_category': 'BGC'},taxes
2023-05-11T00:00:00Z,BUTLINS HOLIDAYS,DEBIT,PURCHASE,[],,-17,GBP,b545c7b03f19603243c5e041075167cc,6ff56371d69d53afc1,txn-3ac4d6eaf3c944721,"{'currency': 'GBP', 'amount': 458.34}",{'provider_transaction_category': 'DEB'},holidays
2023-05-10T00:00:00Z,AXA WEALTH LTD,DEBIT,DIRECT_DEBIT,[],,-40,GBP,b2043459af45cad69b8f3e185a5db322,da4dc634aec339881c,txn-99c53663437aca37f,"{'currency': 'GBP', 'amount': 418.34}",{'provider_transaction_category': 'DD'},finances
2023-05-10T00:00:00Z,ASDA STORES LTD,DEBIT,PURCHASE,"['Shopping', 'Groceries']",Asda,-5,GBP,0d1226dd21aef16cb6599b7497e27347,3f32e2d3248f4f8726,txn-635a3c130cfd42f95,"{'currency': 'GBP', 'amount': 413.34}",{'provider_transaction_category': 'DEB'},groceries / food spend
2023-05-10T00:00:00Z,RETURNED DD,CREDIT,CREDIT,[],,40,GBP,1d06d8e983e82d8f91653786b862ce4e,1b9e626cb1142aa239,txn-85c98616f0308a7df,"{'currency': 'GBP', 'amount': 453.34}",{'provider_transaction_category': 'DEP'},transfer
2023-05-10T00:00:00Z,CIRCLE UK TRADING,CREDIT,CREDIT,[],,50.36,GBP,44f35242517373916359b971ddc31ca3,029176c0f514254231,txn-2ecdc6007427065a2,"{'currency': 'GBP', 'amount': 503.7}",{'provider_transaction_category': 'FPI'},finances
